Datum;Dygnsmedel
2021-02-28;2.3
2021-03-01;2.2
2021-03-02;2.2
2021-03-03;1.4
2021-03-04;1.0
2021-03-05;-1.2
2021-03-06;1.8
2021-03-07;2.2
2021-03-08;-2.1
2021-03-09;-1.2
2021-03-10;0.3
2021-03-11;1.9
2021-03-12;4.8
2021-03-13;3.7
2021-03-14;2.6
2021-03-15;2.8
2021-03-16;1.3
2021-03-17;1.7
2021-03-18;0.7
2021-03-19;0.4
2021-03-20;3.2
2021-03-21;4.8
2021-03-22;2.5
2021-03-23;3.0
2021-03-24;5.9
2021-03-25;5.2
2021-03-26;6.7
2021-03-27;6.0
2021-03-28;5.1
2021-03-29;7.3
2021-03-30;8.6
2021-03-31;7.5
2021-04-01;5.1
2021-04-02;4.9
2021-04-03;4.0
2021-04-04;4.2
2021-04-05;3.5
2021-04-06;4.7
2021-04-07;5.0
2021-04-08;2.2
2021-04-09;5.3
2021-04-10;4.8
2021-04-11;1.1
2021-04-12;3.4
2021-04-13;3.9
2021-04-14;2.7
2021-04-15;4.7
2021-04-16;5.5
2021-04-17;9.3
2021-04-18;11.5
2021-04-19;11.8
2021-04-20;9.9
2021-04-21;6.5
2021-04-22;6.9
2021-04-23;4.8
2021-04-24;3.9
2021-04-25;4.5
2021-04-26;4.2
2021-04-27;4.3
2021-04-28;6.6
2021-04-29;8.3
2021-04-30;7.5
2021-05-01;6.0
2021-05-02;7.6
2021-05-03;7.5
2021-05-04;4.8
2021-05-05;6.2
2021-05-06;4.1
2021-05-07;5.3
2021-05-08;5.7
2021-05-09;9.5
2021-05-10;14.8
2021-05-11;10.5
2021-05-12;12.0
2021-05-13;12.8
2021-05-14;13.4
2021-05-15;10.0
2021-05-16;10.7
2021-05-17;10.4
2021-05-18;10.6
2021-05-19;10.2
2021-05-20;9.4
2021-05-21;9.3
2021-05-22;11.6
2021-05-23;10.4
2021-05-24;11.3
2021-05-25;12.2
2021-05-26;10.4
2021-05-27;10.4
2021-05-28;12.4
2021-05-29;13.5
2021-05-30;14.8
2021-05-31;12.4
2021-06-01;15.2
2021-06-02;15.6
2021-06-03;17.8
2021-06-04;17.9
2021-06-05;17.6
2021-06-06;18.3
2021-06-07;15.1
2021-06-08;13.9
2021-06-09;15.6
2021-06-10;15.8
2021-06-11;15.8
2021-06-12;16.7
2021-06-13;Nan
2021-06-14;Nan
2021-06-15;Nan
2021-06-16;Nan
2021-06-17;Nan
2021-06-18;Nan
2021-06-19;20.3
2021-06-20;17.6
2021-06-21;15.1
2021-06-22;16.0
2021-06-23;16.2
2021-06-24;14.7
2021-06-25;15.1
2021-06-26;15.8
2021-06-27;15.6
2021-06-28;15.9
2021-06-29;16.3
2021-06-30;16.5
2021-07-01;15.8
2021-07-02;18.9
2021-07-03;19.8
2021-07-04;Nan
2021-07-05;Nan
2021-07-06;8.5
2021-07-07;Nan
2021-07-08;Nan
2021-07-09;13.7
2021-07-10;17.0
2021-07-11;13.9
2021-07-12;19.3
2021-07-13;22.0
2021-07-14;23.6
2021-07-15;22.5
2021-07-16;23.3
2021-07-17;20.7
2021-07-18;18.6
2021-07-19;17.9
2021-07-20;18.2
2021-07-21;17.8
2021-07-22;17.6
2021-07-23;18.1
2021-07-24;19.8
2021-07-25;21.9
2021-07-26;21.1
2021-07-27;20.0
2021-07-28;19.1
2021-07-29;16.6
2021-07-30;17.4
2021-07-31;17.9
2021-08-01;16.4
2021-08-02;14.6
2021-08-03;14.3
2021-08-04;14.4
2021-08-05;15.0
2021-08-06;17.7
2021-08-07;17.2
2021-08-08;15.0
2021-08-09;17.4
2021-08-10;15.3
2021-08-11;16.4
2021-08-12;17.9
2021-08-13;17.4
2021-08-14;16.2
2021-08-15;17.0
2021-08-16;14.4
2021-08-17;13.7
2021-08-18;15.8
2021-08-19;16.5
2021-08-20;15.8
2021-08-21;14.0
2021-08-22;13.9
2021-08-23;15.1
2021-08-24;14.9
2021-08-25;18.4
2021-08-26;13.8
2021-08-27;14.6
2021-08-28;14.5
2021-08-29;16.7
2021-08-30;15.3
2021-08-31;15.4
2021-09-01;13.8
2021-09-02;13.5
2021-09-03;14.7
2021-09-04;12.8
2021-09-05;11.6
2021-09-06;12.2
2021-09-07;14.0
2021-09-08;17.4
2021-09-09;17.5
2021-09-10;17.1
2021-09-11;17.2
2021-09-12;17.0
2021-09-13;15.0
2021-09-14;12.1
2021-09-15;14.3
2021-09-16;11.3
2021-09-17;10.2
2021-09-18;11.5
2021-09-19;10.1
2021-09-20;9.6
2021-09-21;9.8
2021-09-22;12.0
2021-09-23;13.0
2021-09-24;11.6
2021-09-25;13.8
2021-09-26;11.5
2021-09-27;15.1
2021-09-28;13.5
2021-09-29;10.6
2021-09-30;12.0
2021-10-01;12.2
2021-10-02;12.2
2021-10-03;14.3
2021-10-04;13.0
2021-10-05;12.7
2021-10-06;12.3
2021-10-07;12.2
2021-10-08;12.1
2021-10-09;11.6
2021-10-10;10.7
2021-10-11;11.5
2021-10-12;5.5
2021-10-13;4.0
2021-10-14;11.6
2021-10-15;11.2
2021-10-16;10.8
2021-10-17;8.4
2021-10-18;3.2
2021-10-19;7.8
2021-10-20;Nan
2021-10-21;8.4
2021-10-22;8.4
2021-10-23;6.5
2021-10-24;9.7
2021-10-25;9.6
2021-10-26;10.6
2021-10-27;12.0
2021-10-28;12.5
2021-10-29;11.1
2021-10-30;11.2
2021-10-31;9.5
2021-11-01;11.4
2021-11-02;9.0
2021-11-03;7.5
2021-11-04;7.3
2021-11-05;7.4
2021-11-06;10.6
2021-11-07;8.8
2021-11-08;3.3
2021-11-09;6.5
2021-11-10;10.3
2021-11-11;7.9
2021-11-12;6.0
2021-11-13;7.1
2021-11-14;5.9
2021-11-15;5.0
2021-11-16;6.2
2021-11-17;7.4
2021-11-18;9.0
2021-11-19;11.2
2021-11-20;8.3
2021-11-21;3.2
2021-11-22;1.3
2021-11-23;2.4
2021-11-24;8.1
2021-11-25;5.2
2021-11-26;-1.3
2021-11-27;0.2
2021-11-28;-0.1
2021-11-29;-5.6
2021-11-30;-3.7
2021-12-01;-4.2
2021-12-02;-5.2
2021-12-03;-7.8
2021-12-04;-2.9
2021-12-05;-4.9
2021-12-06;-6.0
2021-12-07;-3.0
2021-12-08;-0.7
2021-12-09;0.3
2021-12-10;0.2
2021-12-11;0.0
2021-12-12;0.1
2021-12-13;2.9
2021-12-14;5.2
2021-12-15;7.1
2021-12-16;5.8
2021-12-17;0.3
2021-12-18;2.6
2021-12-19;3.7
2021-12-20;-0.9
2021-12-21;-3.8
2021-12-22;-1.0
2021-12-23;0.5
2021-12-24;-5.1
2021-12-25;-7.7
2021-12-26;-7.4
2021-12-27;-3.0
2021-12-28;-0.3
2021-12-29;0.3
2021-12-30;4.4
2021-12-31;5.6
2022-01-01;3.1
2022-01-02;6.5
2022-01-03;6.0
2022-01-04;3.0
2022-01-05;0.5
2022-01-06;-3.4
2022-01-07;1.2
2022-01-08;1.6
2022-01-09;0.8
2022-01-10;0.5
2022-01-11;1.2
2022-01-12;4.4
2022-01-13;6.7
2022-01-14;5.5
2022-01-15;-0.4
2022-01-16;4.8
2022-01-17;3.2
2022-01-18;1.2
2022-01-19;4.9
2022-01-20;0.8
2022-01-21;0.4
2022-01-22;0.4
2022-01-23;4.0
2022-01-24;5.6
2022-01-25;2.4
2022-01-26;5.6
2022-01-27;6.1
2022-01-28;3.7
2022-01-29;5.4
2022-01-30;3.9
2022-01-31;-2.6
2022-02-01;-1.5
2022-02-02;-2.3
2022-02-03;1.5
2022-02-04;4.5
2022-02-05;4.1
2022-02-06;3.1
2022-02-07;3.1
2022-02-08;5.3
2022-02-09;5.0
2022-02-10;4.4
2022-02-11;0.6
2022-02-12;3.2
2022-02-13;3.6
2022-02-14;5.1
2022-02-15;5.1
2022-02-16;3.5
2022-02-17;3.1
2022-02-18;3.7
2022-02-19;2.2
2022-02-20;1.4
2022-02-21;2.1
2022-02-22;-0.7
2022-02-23;3.5
2022-02-24;4.0
2022-02-25;3.4
2022-02-26;0.3
2022-02-27;1.7
2022-02-28;3.1
2022-03-01;3.1
2022-03-02;2.8
2022-03-03;1.3
2022-03-04;-0.4
2022-03-05;-0.7
2022-03-06;0.2
2022-03-07;-0.2
2022-03-08;-0.1
2022-03-09;1.1
2022-03-10;1.9
2022-03-11;3.2
2022-03-12;5.0
2022-03-13;6.2
2022-03-14;6.0
2022-03-15;1.6
2022-03-16;2.5
2022-03-17;3.7
2022-03-18;5.2
2022-03-19;2.5
2022-03-20;3.3
2022-03-21;6.0
2022-03-22;4.2
2022-03-23;2.9
2022-03-24;3.2
2022-03-25;5.5
2022-03-26;7.3
2022-03-27;5.3
2022-03-28;6.5
2022-03-29;1.5
2022-03-30;-0.8
2022-03-31;-1.1
2022-04-01;-0.3
2022-04-02;-0.5
2022-04-03;1.7
2022-04-04;4.3
2022-04-05;1.9
2022-04-06;-0.4
2022-04-07;2.8
2022-04-08;1.7
2022-04-09;4.1
2022-04-10;6.0
2022-04-11;4.6
2022-04-12;4.0
2022-04-13;8.0
2022-04-14;7.9
2022-04-15;6.8
2022-04-16;4.7
2022-04-17;5.9
2022-04-18;6.7
2022-04-19;10.6
2022-04-20;12.0
2022-04-21;12.3
2022-04-22;11.6
2022-04-23;10.6
2022-04-24;8.5
2022-04-25;6.3
2022-04-26;6.8
2022-04-27;7.6
2022-04-28;7.6
2022-04-29;8.0
2022-04-30;9.2
2022-05-01;9.8
2022-05-02;8.1
2022-05-03;9.5
2022-05-04;7.6
2022-05-05;9.3
2022-05-06;10.3
2022-05-07;11.3
2022-05-08;9.5
2022-05-09;10.4
2022-05-10;12.1
2022-05-11;11.0
2022-05-12;10.8
2022-05-13;10.5
2022-05-14;11.5
2022-05-15;11.7
2022-05-16;11.7
2022-05-17;11.4
2022-05-18;13.3
2022-05-19;14.1
2022-05-20;12.6
2022-05-21;10.4
2022-05-22;11.2
2022-05-23;12.8
2022-05-24;12.8
2022-05-25;12.2
2022-05-26;11.9
2022-05-27;11.1
2022-05-28;12.0
2022-05-29;11.9
2022-05-30;11.8
2022-05-31;12.2
2022-06-01;11.8
2022-06-02;11.6
2022-06-03;13.1
2022-06-04;12.5
2022-06-05;14.4
2022-06-06;15.7
2022-06-07;15.8
2022-06-08;13.7
2022-06-09;15.7
2022-06-10;14.9
2022-06-11;15.6
2022-06-12;14.0
2022-06-13;14.0
2022-06-14;15.1
2022-06-15;14.8
2022-06-16;12.5
2022-06-17;15.8
2022-06-18;15.6
2022-06-19;14.4
2022-06-20;14.6
2022-06-21;14.3
2022-06-22;15.1
2022-06-23;15.4
2022-06-24;19.6
2022-06-25;21.5
2022-06-26;20.9
2022-06-27;20.1
2022-06-28;17.0
2022-06-29;17.4
2022-06-30;20.3
2022-07-01;20.4
2022-07-02;17.5
2022-07-03;Nan
2022-07-04;Nan
2022-07-05;13.2
2022-07-06;16.2
2022-07-07;16.7
2022-07-08;17.1
2022-07-09;16.9
2022-07-10;15.9
2022-07-11;12.8
2022-07-12;15.8
2022-07-13;18.4
2022-07-14;15.9
2022-07-15;15.5
2022-07-16;15.7
2022-07-17;16.1
2022-07-18;15.3
2022-07-19;19.0
2022-07-20;22.8
2022-07-21;23.3
2022-07-22;17.4
2022-07-23;16.1
2022-07-24;16.7
2022-07-25;18.3
2022-07-26;15.9
2022-07-27;17.1
2022-07-28;15.6
2022-07-29;15.8
2022-07-30;18.2
2022-07-31;19.1
2022-08-01;17.7
2022-08-02;15.4
2022-08-03;19.0
2022-08-04;19.0
2022-08-05;15.8
2022-08-06;15.7
2022-08-07;15.0
2022-08-08;16.4
2022-08-09;15.2
2022-08-10;17.4
2022-08-11;18.9
2022-08-12;18.9
2022-08-13;19.3
2022-08-14;20.4
2022-08-15;20.7
2022-08-16;21.2
2022-08-17;20.1
2022-08-18;19.3
2022-08-19;19.4
2022-08-20;18.4
2022-08-21;16.4
2022-08-22;16.6
2022-08-23;15.1
2022-08-24;18.1
2022-08-25;16.7
2022-08-26;19.9
2022-08-27;18.1
2022-08-28;16.5
2022-08-29;14.6
2022-08-30;12.7
2022-08-31;12.7
2022-09-01;11.4
2022-09-02;12.8
2022-09-03;14.5
2022-09-04;13.9
2022-09-05;15.2
2022-09-06;13.7
2022-09-07;12.2
2022-09-08;13.1
2022-09-09;13.0
2022-09-10;14.4
2022-09-11;13.3
2022-09-12;13.7
2022-09-13;15.0
2022-09-14;15.4
2022-09-15;14.1
2022-09-16;13.0
2022-09-17;9.2
2022-09-18;10.2
2022-09-19;10.0
2022-09-20;8.4
2022-09-21;Nan
2022-09-22;10.6
2022-09-23;12.3
2022-09-24;12.7
2022-09-25;10.9
2022-09-26;10.9
2022-09-27;11.7
2022-09-28;13.1
2022-09-29;10.1
2022-09-30;8.1
2022-10-01;10.7
2022-10-02;11.5
2022-10-03;8.3
2022-10-04;10.2
2022-10-05;14.2
2022-10-06;12.8
2022-10-07;13.6
2022-10-08;11.9
2022-10-09;10.8
2022-10-10;11.9
2022-10-11;11.0
2022-10-12;11.4
2022-10-13;11.8
2022-10-14;11.2
2022-10-15;12.5
2022-10-16;11.6
2022-10-17;11.1
2022-10-18;11.4
2022-10-19;4.3
2022-10-20;5.7
2022-10-21;6.6
2022-10-22;9.0
2022-10-23;11.2
2022-10-24;11.1
2022-10-25;12.6
2022-10-26;11.9
2022-10-27;13.1
2022-10-28;13.3
2022-10-29;12.6
2022-10-30;11.3
2022-10-31;12.6
2022-11-01;11.3
2022-11-02;11.5
2022-11-03;10.7
2022-11-04;10.1
2022-11-05;10.0
2022-11-06;10.8
2022-11-07;10.3
2022-11-08;11.7
2022-11-09;11.9
2022-11-10;10.8
2022-11-11;13.2
2022-11-12;12.6
2022-11-13;11.3
2022-11-14;9.1
2022-11-15;8.1
2022-11-16;6.0
2022-11-17;3.9
2022-11-18;2.4
2022-11-19;1.2
2022-11-20;-0.5
2022-11-21;-1.0
2022-11-22;0.4
2022-11-23;3.8
2022-11-24;4.8
2022-11-25;4.9
2022-11-26;5.2
2022-11-27;6.4
2022-11-28;6.3
2022-11-29;4.3
2022-11-30;2.6
2022-12-01;1.9
